t	theta	dx	dy
0.067	0.456	0.008333333333333333	0.008726646250000001
0.1	0.415	0.008333333333333333	0.008726646250000001
0.133	0.337	0.008333333333333333	0.008726646250000001
0.167	0.235	0.008333333333333333	0.008726646250000001
0.2	0.146	0.008333333333333333	0.008726646250000001
0.234	0.03307	0.008333333333333333	0.008726646250000001
0.267	-0.07272	0.008333333333333333	0.008726646250000001
0.3	-0.192	0.008333333333333333	0.008726646250000001
0.334	-0.291	0.008333333333333333	0.008726646250000001
0.367	-0.38	0.008333333333333333	0.008726646250000001
0.4	-0.442	0.008333333333333333	0.008726646250000001
0.434	-0.489	0.008333333333333333	0.008726646250000001
0.467	-0.517	0.008333333333333333	0.008726646250000001
0.5	-0.52	0.008333333333333333	0.008726646250000001
0.534	-0.51	0.008333333333333333	0.008726646250000001
0.567	-0.461	0.008333333333333333	0.008726646250000001
0.601	-0.406	0.008333333333333333	0.008726646250000001
0.634	-0.331	0.008333333333333333	0.008726646250000001
0.667	-0.232	0.008333333333333333	0.008726646250000001
0.701	-0.132	0.008333333333333333	0.008726646250000001
0.734	-0.02125	0.008333333333333333	0.008726646250000001
0.767	0.08399	0.008333333333333333	0.008726646250000001
0.801	0.195	0.008333333333333333	0.008726646250000001
0.834	0.284	0.008333333333333333	0.008726646250000001
0.868	0.363	0.008333333333333333	0.008726646250000001
0.901	0.423	0.008333333333333333	0.008726646250000001
0.934	0.47	0.008333333333333333	0.008726646250000001
0.968	0.491	0.008333333333333333	0.008726646250000001
1.001	0.486	0.008333333333333333	0.008726646250000001
1.034	0.456	0.008333333333333333	0.008726646250000001
1.068	0.407	0.008333333333333333	0.008726646250000001
1.101	0.349	0.008333333333333333	0.008726646250000001
1.134	0.265	0.008333333333333333	0.008726646250000001
1.168	0.166	0.008333333333333333	0.008726646250000001
1.201	0.07913	0.008333333333333333	0.008726646250000001
1.235	-0.007218	0.008333333333333333	0.008726646250000001
1.268	-0.135	0.008333333333333333	0.008726646250000001
1.301	-0.257	0.008333333333333333	0.008726646250000001
1.335	-0.322	0.008333333333333333	0.008726646250000001
1.368	-0.395	0.008333333333333333	0.008726646250000001
1.401	-0.452	0.008333333333333333	0.008726646250000001
1.435	-0.508	0.008333333333333333	0.008726646250000001
1.468	-0.522	0.008333333333333333	0.008726646250000001
1.502	-0.507	0.008333333333333333	0.008726646250000001
1.535	-0.451	0.008333333333333333	0.008726646250000001
1.568	-0.394	0.008333333333333333	0.008726646250000001
1.602	-0.343	0.008333333333333333	0.008726646250000001
1.635	-0.255	0.008333333333333333	0.008726646250000001
1.668	-0.143	0.008333333333333333	0.008726646250000001
1.702	-0.04583	0.008333333333333333	0.008726646250000001
1.735	0.06234	0.008333333333333333	0.008726646250000001
1.768	0.174	0.008333333333333333	0.008726646250000001
1.802	0.294	0.008333333333333333	0.008726646250000001
1.835	0.353	0.008333333333333333	0.008726646250000001
1.869	0.416	0.008333333333333333	0.008726646250000001
1.902	0.461	0.008333333333333333	0.008726646250000001
1.935	0.482	0.008333333333333333	0.008726646250000001
1.969	0.486	0.008333333333333333	0.008726646250000001
2.002	0.466	0.008333333333333333	0.008726646250000001
2.035	0.428	0.008333333333333333	0.008726646250000001
2.069	0.372	0.008333333333333333	0.008726646250000001
2.102	0.306	0.008333333333333333	0.008726646250000001
2.135	0.226	0.008333333333333333	0.008726646250000001
2.169	0.0921	0.008333333333333333	0.008726646250000001
2.202	-0.01957	0.008333333333333333	0.008726646250000001
2.236	-0.122	0.008333333333333333	0.008726646250000001
2.269	-0.198	0.008333333333333333	0.008726646250000001
2.302	-0.285	0.008333333333333333	0.008726646250000001
2.336	-0.362	0.008333333333333333	0.008726646250000001
2.369	-0.419	0.008333333333333333	0.008726646250000001
2.402	-0.462	0.008333333333333333	0.008726646250000001
2.436	-0.479	0.008333333333333333	0.008726646250000001
2.469	-0.472	0.008333333333333333	0.008726646250000001
2.502	-0.443	0.008333333333333333	0.008726646250000001
2.536	-0.394	0.008333333333333333	0.008726646250000001
2.569	-0.33	0.008333333333333333	0.008726646250000001
2.603	-0.26	0.008333333333333333	0.008726646250000001
2.636	-0.164	0.008333333333333333	0.008726646250000001
2.669	-0.06956	0.008333333333333333	0.008726646250000001
2.703	0.04024	0.008333333333333333	0.008726646250000001
2.736	0.18	0.008333333333333333	0.008726646250000001
2.769	0.285	0.008333333333333333	0.008726646250000001
2.803	0.33	0.008333333333333333	0.008726646250000001
2.836	0.399	0.008333333333333333	0.008726646250000001
